177       	254       	70        	-132      	129       	-200      	40        	66        	
215       	129       	194       	9         	-66       	-141      	182       	-221      	
143       	-238      	3         	-16       	201       	65        	-221      	26        	
-51       	-209      	104       	101       	66        	19        	-53       	-221      	
-123      	36        	225       	215       	-249      	-109      	127       	234       	
208       	-243      	-33       	204       	-189      	108       	-151      	167       	
-6        	-171      	-237      	-241      	-56       	239       	131       	-45       	
82        	-51       	-124      	-53       	-213      	115       	249       	-176      	


-17       	56        	169       	-209      	132       	210       	-66       	47        	
-167      	202       	134       	-226      	231       	-171      	-83       	-28       	
218       	184       	-68       	-252      	202       	54        	-63       	33        	
-210      	-120      	58        	46        	19        	176       	169       	135       	
41        	152       	253       	-214      	-159      	97        	116       	-108      	
-163      	109       	-246      	-8        	107       	-85       	-191      	228       	
-50       	-30       	80        	192       	-144      	-254      	21        	158       	
139       	89        	193       	161       	-220      	126       	215       	-214      	


87        	-247      	95        	177       	-198      	190       	152       	-215      	
235       	-67       	-194      	72        	245       	-248      	-228      	151       	
-59       	162       	-44       	-84       	19        	242       	-202      	58        	
-11       	70        	1         	-7        	181       	135       	-16       	21        	
-115      	133       	-239      	38        	229       	-234      	-37       	38        	
-175      	-234      	-184      	-186      	95        	106       	-32       	-180      	
30        	-176      	-39       	186       	179       	63        	241       	178       	
2         	244       	86        	-210      	101       	253       	4         	12        	


